DATE,"DATE ""CORREGIDA""",GDP USA,Autos,Aviacion,Electronic,Seguros,Iron/Steel,Meal/Mine,Oil/Gas,Pharma,Semicunductor,Shipping,Port,TELECOMUNICATION
01/12/1996,01/12/1996,29932,151593300,49976170,2001762,0,2554417,0,134249000,15065000,0,0,0,14637177
01/12/1997,01/12/1997,31424,332970700,53358821,2059728,0,2860632,0,137242000,16701000,0,0,0,15775421
01/12/1998,01/12/1998,32818,307755800,55067980,1389448,0,10922486,0,165627000,15061000,0,0,0,18711385
01/03/1999,01/12/1999,34478,42435000,13044571,2057904,0,1141753,0,37982000,4854000,0,0,0,414256
01/06/1999,01/12/1999,34478,87502000,26796003,2767206,0,2421914,0,80440000,9774000,0,0,0,831006
01/09/1999,01/12/1999,34478,130296000,41074169,406957,0,3636138,0,128855000,12288000,0,43181.25,43181.25,1250211
01/12/1999,01/12/1999,34478,348137000,55089587,967131,0,10523121,0,182529000,57150625,0,99557.25,99557.25,80135669
01/03/2000,01/12/2000,36305,46858000,14242647,1483718,0,1351172,0,64629000,31949678,0,142170.4748,142170.4748,412956
01/06/2000,01/12/2000,36305,95601000,29535322,1957199,0,2791609,0,132514000,64626231,0,142170.4748,142170.4748,836112
01/09/2000,01/12/2000,36305,138291000,45135156,424366,0,4091874,0,202973000,98386126,0,148281.7248,148281.7248,1318746
01/12/2000,01/12/2000,36305,362632500,61445560,985936,0,16150644,0,344691000,134477516,0,148925.4035,148925.4035,90165926
01/03/2001,01/12/2001,37100,42615000,14454617,1497659,0,1152886,0,68041000,35870580,0,148702.2278,148702.2278,516008
01/06/2001,01/12/2001,37100,88835000,30025402,1953392,0,2251725,0,135859000,73751499,0,148702.2278,148702.2278,1034944
01/09/2001,01/12/2001,37100,131310000,43681527,440943,0,3369232,0,198554000,110894384,0,150920.9778,150920.9778,1574321
01/12/2001,01/12/2001,37100,345772500,54535174,1015613,0,15060091,0,313124000,120884946,0,149900.95,149900.95,94384504
01/03/2002,01/12/2002,37980,47765500,11811000,1610480,0,1134603,0,63436000,38518089,0,229647.3898,229647.3898,16797918
01/06/2002,01/12/2002,37980,96330800,25059000,2151200,0,2489842,0,138631000,77388778,0,229647.3898,229647.3898,34071620
01/09/2002,01/12/2002,37980,143406600,38132000,582900,0,3848139,0,217506000,95219414,0,232530.8898,232530.8898,51797117
01/12/2002,01/12/2002,37980,346798600,50412000,1332400,0,16774070,0,299640000,127127337,0,238916.5975,238916.5975,95954996
01/03/2003,01/12/2003,39426,51281800,11810000,2038200,0,1220804,0,90840000,34968063,0,248707.3588,248707.3588,16859530
01/06/2003,01/12/2003,39426,101602000,24065000,2718500,0,2420736,0,176092000,87024200,0,248707.3588,248707.3588,34489678
01/09/2003,01/12/2003,39426,149589500,38505000,714200,0,3695788,0,265015000,112110855,0,252446.3588,252446.3588,52248430
01/12/2003,01/12/2003,39426,358369900,51188000,1549000,0,20622771,0,356629000,153373233,0,260256.4203,260256.4203,96032610
01/03/2004,01/12/2004,41648,94971300,13197000,2297900,0,1518545,0,99048000,41286655,0,278852.9203,278852.9203,24436704
01/06/2004,01/12/2004,41648,189614100,28130000,3046700,0,3356002,0,204988000,83174504,0,278852.9203,278852.9203,49747259
01/09/2004,01/12/2004,41648,276286900,42743000,823600,0,5328043,0,319337000,125269273,0,283471.6703,283471.6703,75319138
01/12/2004,01/12/2004,41648,376559300,56801000,1778500,0,32714041,0,442117000,172446816,0,295578.1155,295578.1155,141905372
01/03/2005,01/12/2005,44044,94235000,13975000,2698400,0,5780206,484000,119916000,44032879,0,306649.1155,306649.1155,35958282
01/06/2005,01/12/2005,44044,190807400,29837000,3638800,0,11362632,947000,253785000,86351279,0,306649.1155,306649.1155,72549695
01/09/2005,01/12/2005,44044,282386400,46396000,1010000,0,25948156,1574000,403893000,128645474,5673000,310761.8655,310761.8655,111883780
01/12/2005,01/12/2005,44044,385608400,61866000,21023000,16276000,34572265,2348000,552596000,173303708,40567000,316783.6193,316783.6193,144550252
01/03/2006,01/12/2006,46231,97151700,15547000,8054000,18270000,9374875,2274100,139841000,42622265,15849000,332157.1193,332157.1193,50737649
01/06/2006,01/12/2006,46231,197679700,33740000,15134000,36596000,19606772,5232000,288018000,88077083,29507000,332157.1193,332157.1193,97649780
01/09/2006,01/12/2006,46231,287558100,51763000,18195000,55486000,30109467,8430000,437263000,132394253,44006000,334635.3693,334635.3693,147578863
01/12/2006,01/12/2006,46231,382120100,68521000,25945000,90774000,39774057,16303000,570359000,177283322,51656000,339019.7333,339019.7333,194687730
01/03/2007,01/12/2007,47902,90912500,16142000,9797000,32031000,10110459,4559000,130476000,47229961,16283000,598595.9833,598595.9833,62249855
01/06/2007,01/12/2007,47902,185089700,34917000,17436000,64188000,21287317,12920000,279879000,93871881,30712000,623004.9833,623004.9833,125847846
01/09/2007,01/12/2007,47902,274026400,54205000,20127000,92818000,32778831,21286000,432554000,141494687,46772000,570016.4833,570016.4833,190506679
01/12/2007,01/12/2007,47902,367660700,72093000,29238000,120443000,44853525,28418000,604419000,190012938,54609000,620945.5333,620945.5333,255199241
01/03/2008,01/12/2008,48311,90121400,17704000,12312000,33143000,13863874,9573000,177882000,49133703,17992000,635792.5333,635792.5333,64559614
01/06/2008,01/12/2008,48311,173735900,37622000,21073000,67365000,32339012,18466000,392620000,100045524,33574000,654959.5333,654959.5333,129262720
01/09/2008,01/12/2008,48311,247726800,58217000,21565000,100913000,51820075,26331000,600897000,150510184,50512000,757683.2833,757683.2833,194822793
01/12/2008,01/12/2008,48311,309065500,77680000,28788000,113029000,63142145,31533000,724537000,198138852,52604000,770687.1455,770687.1455,259616747
01/03/2009,01/12/2009,47028,49194200,17571000,10082000,24906000,7141169,5913000,97115000,45626568,14203000,759443.8955,759443.8955,66007385
01/06/2009,01/12/2009,47028,55798000,36093000,17575000,53181000,13331955,13164000,208929000,93622344,27437000,735322.8955,735322.8955,132377854
01/09/2009,01/12/2009,47028,88690200,55893000,18306000,76374000,21482256,21395000,334199000,142735380,42396000,423963.3955,423963.3955,200414179
01/12/2009,01/12/2009,47028,228958500,74665000,27321000,101922000,30273902,30881000,468902000,203548707,48224000,525493.2463,525493.2463,267555239
01/03/2010,01/12/2010,48397,65272700,18787000,13293000,24813000,10512332,9186000,133778000,59726354,18837000,641590.2463,641590.2463,69182426
01/06/2010,01/12/2010,48397,135977800,40958000,21921000,50072000,22618197,17824000,274522000,120932368,35795000,746690.2463,746690.2463,138212456
01/09/2010,01/12/2010,48397,202473300,64401000,20588000,76062000,34415330,28361000,415429000,180322873,53589000,445174.7463,445174.7463,207945557
01/12/2010,01/12/2010,48397,274838900,89258000,29869000,102689000,45487814,39523000,568323000,259972721,60937000,552300.4265,552300.4265,277508534
